book_color,book_number,short_name,long_name
#ff6600,470,მთ.,წიგნი მათესი
#ff6600,480,მკ.,წიგნი მარკოზისა
#ff6600,490,ლკ.,წიგნი ლუკასი
#ff6600,500,ინ.,წიგნი იოანესი
#00ffff,510,საქ.,მოციქულთა საქმენი
#00ff00,660,იაკ.,ეპისტოლე წმიდა იაკობ მოციქულისა
#00ff00,670,1პეტ.,პირველი ეპისტოლე წმიდა პეტრე მოციქულისა
#00ff00,680,2პეტ.,მეორე ეპისტოლე წმიდა პეტრე მოციქულისა
#00ff00,690,1ინ.,პირველი ეპისტოლე წმიდა იოანე მოციქულისა
#00ff00,700,2ინ.,მეორე ეპისტოლე წმიდა იოანე მოციქულისა
#00ff00,710,3ინ.,მესამე ეპისტოლე წმიდა იოანე მოციქულისა
#00ff00,720,იუდ.,ეპისტოლე წმიდა იუდა მოციქულისა
